ID,N,Ha
2865,4,2.832
2867,108,35.527
2870,3,5.524
2871,130,2.572
2872,103,5.014
2873,4,2.102
2874,106,2.462
2875,40,2.692
2877,33,3.413
2881,20,3.022
2883,6,2.712
2884,105,39.14
2885,7,6.925
2887,1,2.412
2889,2,5.574
2891,37,3.283
2892,49,13.851
2893,61,7.326
2895,114,3.713
2899,47,2.752
2901,15,30.652
2903,51,12.209
2904,18,5.954
2905,1,7.746
2906,127,11.469
2907,11,3.312
2909,98,27.671
2911,5,3.433
2912,56,3.773
2914,25,4.834
2916,14,13.91
2917,37,4.443
2920,45,9.497
2923,29,7.576
2924,8,23.788
2925,2,2.432
2926,40,2.332
2927,4,2.252
2928,1,2.032
2931,148,26.42
2932,54,2.642
2936,4,3.302
2938,29,3.653
2940,39,5.494
2941,28,4.623
2942,57,3.032
2943,28,5.954
2944,31,7.015
2946,69,7.826
2947,48,13.51
2952,16,6.305
2953,81,2.432
2954,19,3.372
2955,47,3.052
2958,70,15.181
2959,76,3.693
2960,37,2.322
2966,25,11.468
2967,29,9.637
2968,42,2.692
2969,126,93.869
2970,46,4.864
2972,19,9.297
2975,23,3.202
2976,1,2.252
2977,6,3.733
2979,1,11.378
2981,23,3.963
2982,22,5.274
2989,6,13.73
2991,218,22.227
2994,129,16.502
2997,90,7.596
2998,34,3.833
2999,9,2.422
3000,1,3.052
3001,54,2.242
3003,3,2.072
3006,105,68.761
3007,5,2.192
3008,4,4.263
3009,1,3.132
3010,1,3.332
3011,6,2.542
3012,10,3.573
3013,44,9.037
3014,26,3.533
3017,105,5.875
3018,85,4.604
3019,93,15.122
3023,15,7.386
3026,1,15.152
3027,21,11.679
3029,72,4.483
3032,1,3.132
3036,20,5.414
3039,90,15.912
3041,51,4.844
3044,52,6.345
3047,21,3.042
3050,19,2.072
3051,10,4.864
3052,164,20.086
3056,16,2.312
3061,59,4.794
3065,14,4.894
3066,57,7.096
3068,31,2.372
3071,99,21.627
3075,27,3.953
3076,15,8.367
3081,147,4.834
3085,1,5.124
3086,24,2.762
3087,17,2.152
3088,69,2.092
3090,102,19.946
3091,157,5.524
3093,97,44.425
3094,198,91.783
3095,2,5.815
3097,70,2.342
3099,73,3.343
3101,84,2.892
3103,88,3.052
3104,120,11.049
3105,2,32.986
3106,3,3.653
3107,56,6.585
3109,45,3.973
3110,23,3.243
3111,152,17.974
3112,31,2.082
3121,46,2.182
3122,28,5.564
3123,127,45.696
3124,97,6.375
3127,43,9.437
3129,56,2.242
3134,228,51.941
3135,12,15.012
3136,27,16.803
3137,73,9.017
3138,58,15.462
3139,45,9.988
3142,2,30.694
3143,55,5.895
3144,82,3.102
3145,60,12.039
3148,52,3.693
3149,68,4.544
3150,72,3.263
3151,2,3.683
3152,76,7.466
3158,4,12.58
3160,26,2.582
3161,86,2.142
3162,1,2.512
3163,4,6.405
3168,48,12.84
3171,76,2.422
3173,46,3.042
3174,60,3.443
3175,59,2.372
3180,21,5.154
3183,26,2.192
3184,81,4.183
3186,67,2.992
3189,39,7.526
3190,11,3.853
3193,22,2.812
3194,1,6.895
3195,18,4.283
3196,25,4.043
3199,54,28.543
3206,42,3.313
3207,69,19.035
3208,123,129.103
3212,103,5.044
3214,25,8.677
3218,23,2.072
3220,36,4.764
3224,95,8.637
3225,60,6.956
3227,1,2.132
3231,38,30.854
3245,30,20.656
3249,33,39.03
3250,1,4.153
3254,115,16.583
3256,51,7.456
3257,65,2.582
3258,1,3.373
3260,46,9.978
3276,27,2.012
3283,27,5.234
3288,46,5.124
3291,62,2.252
3292,45,4.994
3293,24,9.817
3299,55,6.885
3300,68,5.114
3312,60,4.994
3316,31,2.612
3318,211,4.013
3320,57,9.027
3322,14,9.217
3323,16,3.903
3324,2,2.412
3327,3,5.574
3333,1,11.659
3343,1,6.525
3346,37,31.344
3347,1,9.527
3348,43,27.1
3349,35,16.262
3352,30,2.502
3353,7,13.73
3354,48,7.415
3355,24,3.212
3356,1,4.153
3358,15,8.026
3359,1,4.854
3365,29,3.262
3366,29,2.292
3368,12,6.445
3374,10,8.156
3375,3,14
3376,28,4.173
3377,38,4.874
3378,1,2.132
3379,51,5.474
3380,1,2.642
3381,2,2.532
3382,1,3.713
3383,11,12.229
3384,22,7.255
3385,1,5.494
3386,41,2.622
3388,11,12.78
3392,31,11.088
3395,20,23.077
3399,1,6.505
3400,8,6.565
3404,1,3.593
3405,1,2.752
3406,16,3.613
3410,45,2.262
3411,20,2.252
3412,14,9.757
3414,14,3.042
3415,3,5.144
3417,21,8.937
3418,1,10.998
3423,28,2.772
3424,20,21.877
3430,17,6.505
3435,1,2.272
3439,31,23.828
3442,23,3.973
3443,36,3.222
3447,39,6.325
3449,15,3.753
3450,16,4.584
3454,3,2.192
3455,31,8.907
3456,7,4.534
3457,2,2.642
3467,14,4.574
3470,21,6.965
3474,16,4.734
3475,33,3.803
3481,1,4.153
3484,64,6.085
3486,19,3.523
3490,1,2.232
3491,28,2.532
3496,19,12.65
3500,23,2.462
3504,71,10.168
3505,36,3.183
3506,50,14.191
3515,36,12.68
3517,13,9.668
3521,5,2.022
3522,38,12.72
3524,169,3.213
3529,2,4.674
3531,21,2.202
3533,43,2.042
3535,30,3.433
3539,30,6.315
3540,13,8.347
3541,1,4.774
3545,56,4.293
3546,25,9.698
3548,113,148.658
3567,13,4.744
3575,12,5.534
3582,17,25.981
3585,1,4.103
3589,2,4.153
3593,16,2.872
3596,61,24.509
3599,34,4.764
3600,53,8.337
3601,80,4.754
3602,1,5.254
3603,47,2.312
3607,18,13.531
3613,11,6.915
3616,15,2.602
3617,11,6.155
3619,13,6.655
3622,11,2.222
3623,25,25.42
3637,8,7.946
3638,28,21.347
3640,17,4.113
3642,1,10.278
3643,25,12.009
3646,54,11.359
3649,73,6.235
3651,47,2.682
3658,1,17.664
3661,2,14.121
3665,23,11.959
3671,18,8.757
3672,10,4.464
3673,35,5.034
3674,36,10.458
3676,36,5.604
3679,67,19.826
3688,11,37.47
3689,22,3.062
3695,6,9.307
3697,9,2.562
3698,25,7.576
3700,10,2.212
3702,1,3.803
3708,9,16.743
3709,49,2.162
3711,39,4.213
3712,1,8.427
3722,11,2.212
3740,59,2.942
3742,57,4.764
3747,20,2.222
3749,49,6.785
3755,35,9.988
3756,4,4.143
3760,7,34.738
3761,38,17.064
3764,44,2.382
3765,82,11.189
3766,37,2.032
3767,210,33.597
3770,24,5.184
3771,3,3.052
3772,50,4.193
3776,55,4.343
3778,57,3.643
3779,90,5.735
3784,85,8.367
3785,2,10.078
3788,27,15.472
3791,11,12.3
3796,123,4.073
3797,81,2.302
3801,2,6.435
3806,13,2.152
3810,66,3.893
3815,130,47.718
3820,36,28.042
3822,66,16.873
3826,28,6.966
3828,61,2.552
3829,45,9.297
3830,1,7.946
3831,47,2.852
3832,79,2.952
3833,1,2.912
3834,37,10.328
3835,13,2.772
3837,1,6.205
3838,5,2.482
3841,14,2.042
3842,20,2.742
3843,42,15.102
3848,32,19.375
3850,1,7.186
